TelekomunikacjaPolska, 	AS5617, 5.184.0.0/15 5.184.0.0/16 31.60.0.0/14 31.61.128.0/21 31.63.128.0/17 37.47.0.0/16 37.108.0.0/16 37.225.0.0/16 37.228.0.0/18 46.134.0.0/16 46.134.192.0/18 46.170.0.0/15 79.139.44.0/22 79.162.0.0/15 79.162.128.0/18 79.163.0.0/16 79.184.0.0/13 79.190.0.0/19 80.48.0.0/13 80.48.169.0/24 83.0.0.0/11 83.0.0.0/13 83.8.0.0/13 83.16.0.0/13 83.24.0.0/13 87.96.0.0/17 91.94.0.0/16 91.220.17.0/24 95.48.0.0/14 95.178.76.0/22 95.178.88.0/22 176.118.136.0/21 178.42.0.0/15 178.56.0.0/16 188.47.0.0/16 188.47.192.0/18 193.110.98.0/23 193.110.120.0/22 194.204.128.0/18 195.116.0.0/16 195.117.0.0/16 195.205.0.0/16 212.160.0.0/16 212.160.172.0/24 212.244.0.0/16 213.25.0.0/16 213.76.0.0/16 213.77.0.0/16 213.77.68.0/24 213.77.68.192/26 217.96.0.0/14 217.96.0.0/16 217.97.0.0/16 217.97.171.0/24 217.97.216.0/24 217.98.0.0/16 217.98.40.0/24 217.98.41.0/24 217.98.42.0/24 217.98.43.0/24 217.99.0.0/16 217.116.100.0/22 
Netia, 	AS12741, 5.226.64.0/18 31.41.144.0/21 31.131.48.0/20 37.128.0.0/17 46.151.72.0/21 46.175.14.0/23 46.235.120.0/21 62.87.128.0/17 62.87.128.0/24 62.87.130.0/24 62.87.136.0/24 62.87.137.0/24 62.87.152.0/24 62.87.161.0/24 62.87.168.0/24 62.87.176.0/24 62.87.192.0/24 62.87.193.0/24 62.87.244.0/24 62.87.245.0/24 62.87.253.0/24 62.87.254.0/24 62.111.250.0/24 62.148.64.0/19 62.233.128.0/17 62.233.144.0/24 62.244.128.0/19 77.252.0.0/14 77.252.229.0/24 77.253.0.0/16 77.253.80.0/20 77.253.96.0/19 77.254.0.0/16 77.255.0.0/16 78.8.0.0/14 78.9.160.0/22 78.31.88.0/21 81.168.128.0/17 81.210.0.0/17 81.219.0.0/16 83.238.0.0/16 84.38.96.0/20 84.40.128.0/17 87.105.0.0/16 87.204.0.0/15 87.205.32.0/21 87.205.160.0/20 87.205.192.0/20 87.205.240.0/20 87.239.88.0/22 89.171.17.0/24 89.171.96.0/22 89.171.224.0/20 89.171.240.0/23 89.174.31.0/24 89.200.152.0/21 91.189.136.0/21 91.193.84.0/22 91.198.94.0/24 91.202.100.0/22 91.202.192.0/22 91.203.16.0/22 91.206.6.0/23 91.207.184.0/23 91.208.78.0/24 91.210.12.0/22 91.212.127.0/24 91.213.108.0/24 91.222.56.0/22 91.222.56.0/24 91.223.119.0/24 91.227.63.0/24 91.227.64.0/22 91.231.248.0/22 91.232.44.0/23 91.235.0.0/23 91.235.16.0/22 91.235.149.0/24 91.235.152.0/22 91.235.204.0/22 91.235.238.0/23 91.237.136.0/23 91.238.60.0/24 91.238.107.0/24 91.238.178.0/23 91.239.113.0/24 91.239.114.0/23 91.239.116.0/22 91.239.120.0/24 91.241.60.0/22 91.247.147.0/24 93.157.152.0/21 95.178.80.0/21 139.181.144.0/22 159.205.0.0/16 176.101.128.0/20 176.107.104.0/21 176.107.168.0/21 178.16.116.0/24 178.16.121.0/24 178.36.0.0/15 178.252.0.0/22 178.252.4.0/23 178.252.11.0/24 178.252.12.0/23 192.55.109.0/24 192.156.102.0/24 193.23.63.0/24 193.24.14.0/24 193.43.12.0/23 193.84.29.0/24 193.105.24.0/24 193.218.126.0/23 194.29.180.0/22 194.31.32.0/22 194.33.76.0/23 194.33.111.0/24 194.42.110.0/23 194.88.224.0/23 194.93.124.0/23 194.93.126.0/23 194.93.126.0/25 194.93.126.128/25 194.93.127.0/25 194.93.127.128/25 194.106.200.0/23 194.110.116.0/24 194.152.53.0/24 195.20.138.0/24 195.43.142.0/24 195.47.227.0/24 195.47.246.0/24 195.114.160.0/19 195.225.70.0/23 195.234.63.0/24 195.238.228.0/24 195.248.88.0/24 212.106.0.0/19 213.17.128.0/17 213.146.32.0/19 213.186.64.0/19 213.195.128.0/18 213.216.64.0/18 213.238.64.0/18 213.241.0.0/17 217.30.128.0/19 217.30.128.0/20 217.30.144.0/21 217.30.152.0/21 217.30.152.0/22 
UPC, 	AS6830, 24.132.0.0/16 24.132.0.0/17 24.132.12.0/22 24.132.128.0/17 31.10.128.0/17 31.151.0.0/16 31.151.0.0/17 31.151.128.0/17 31.178.0.0/15 31.178.0.0/16 31.179.0.0/16 31.186.192.0/19 31.186.192.0/20 31.186.208.0/20 31.187.0.0/18 31.187.0.0/19 31.187.32.0/19 37.61.184.0/21 37.77.224.0/19 37.228.192.0/18 37.228.192.0/19 37.228.224.0/19 46.7.0.0/16 46.7.0.0/17 46.7.128.0/17 46.126.0.0/15 46.126.0.0/16 46.127.0.0/16 46.129.0.0/16 46.129.0.0/17 46.129.128.0/17 46.140.0.0/16 46.140.0.0/17 46.140.128.0/17 46.167.192.0/18 46.167.192.0/19 46.167.224.0/19 46.174.16.0/21 46.183.64.0/21 62.2.0.0/16 62.24.64.0/19 62.99.128.0/17 62.99.128.0/18 62.99.192.0/18 62.108.0.0/19 62.108.0.0/20 62.108.16.0/20 62.121.64.0/18 62.121.64.0/19 62.121.96.0/19 62.163.0.0/16 62.163.0.0/17 62.163.128.0/17 62.178.0.0/15 62.178.0.0/16 62.178.0.0/19 62.178.0.0/23 62.178.104.0/23 62.179.0.0/17 62.179.0.0/20 62.179.0.0/21 62.179.8.0/21 62.179.64.0/18 62.179.96.0/19 62.179.96.0/23 62.179.99.0/24 62.179.100.0/23 62.179.104.0/23 62.179.107.0/24 62.179.108.0/24 62.179.123.0/24 62.179.123.0/25 62.179.123.128/25 62.194.0.0/15 62.194.0.0/16 62.195.0.0/16 62.240.160.0/19 62.240.160.0/20 62.240.176.0/20 62.245.64.0/18 77.48.0.0/16 77.48.0.0/17 77.48.128.0/17 77.56.0.0/14 77.56.0.0/15 77.58.0.0/15 77.72.64.0/21 77.87.232.0/21 77.234.56.0/21 77.236.0.0/19 77.236.0.0/20 77.236.16.0/20 77.248.0.0/14 77.248.0.0/15 77.250.0.0/15 78.44.0.0/15 78.44.0.0/16 78.45.0.0/16 78.96.0.0/15 78.102.0.0/15 78.102.0.0/16 78.103.0.0/16 79.97.0.0/16 79.97.0.0/17 79.97.128.0/17 80.56.0.0/15 80.56.0.0/16 80.57.0.0/16 80.57.192.0/18 80.67.144.0/22 80.89.208.0/20 80.98.0.0/15 80.98.0.0/17 80.98.128.0/17 80.99.0.0/16 80.108.0.0/14 80.108.0.0/15 80.108.0.0/16 80.108.0.0/24 80.109.0.0/16 80.109.128.0/18 80.109.240.0/24 80.109.253.0/24 80.110.0.0/16 80.111.0.0/16 80.111.0.0/17 80.111.128.0/17 80.113.0.0/16 80.113.0.0/17 80.113.128.0/17 80.218.0.0/15 81.7.224.0/19 81.18.192.0/20 81.18.192.0/21 81.18.200.0/21 81.18.208.0/20 81.18.208.0/21 81.18.216.0/21 81.27.192.0/20 81.27.192.0/21 81.27.200.0/21 81.89.0.0/20 81.175.64.0/18 81.175.64.0/19 81.175.96.0/19 81.223.0.0/16 81.223.0.0/17 81.223.128.0/17 82.119.96.0/19 82.208.128.0/18 82.210.128.0/18 82.210.128.0/19 82.210.160.0/19 83.64.0.0/15 83.64.0.0/16 83.65.0.0/16 83.103.128.0/17 83.144.64.0/18 83.144.64.0/19 83.144.96.0/19 84.10.0.0/16 84.10.0.0/17 84.10.128.0/17 84.42.128.0/17 84.72.0.0/14 84.112.0.0/13 84.112.0.0/14 84.116.0.0/24 84.116.1.0/24 84.116.2.0/24 84.116.3.0/24 84.117.0.0/16 84.242.64.0/18 84.242.64.0/19 84.242.96.0/19 85.124.0.0/14 85.124.0.0/15 85.126.0.0/15 85.126.0.0/16 85.127.0.0/16 85.158.232.0/21 85.186.0.0/16 85.216.128.0/17 85.222.0.0/17 85.222.0.0/18 85.222.64.0/18 86.49.0.0/16 86.101.0.0/16 86.104.4.0/24 87.206.0.0/15 87.206.0.0/16 87.207.0.0/16 87.236.200.0/21 88.146.128.0/17 88.146.128.0/18 88.146.192.0/18 89.33.72.0/21 89.43.62.0/24 89.43.68.0/23 89.64.0.0/12 89.64.0.0/13 89.72.0.0/13 89.98.0.0/15 89.98.0.0/16 89.99.0.0/16 89.100.0.0/15 89.100.0.0/16 89.101.0.0/16 89.102.0.0/15 89.102.0.0/16 89.103.0.0/16 89.132.0.0/14 89.136.0.0/15 89.173.0.0/16 89.173.0.0/17 89.173.128.0/17 89.176.0.0/15 91.105.216.0/21 91.118.0.0/15 91.118.0.0/16 91.119.0.0/16 91.194.48.0/23 91.197.116.0/22 91.201.148.0/22 91.208.201.0/24 91.209.41.0/24 91.212.121.0/24 91.213.4.0/24 91.213.159.0/24 91.213.194.0/24 91.214.168.0/22 91.217.54.0/23 91.217.96.0/23 91.219.240.0/22 91.220.2.0/24 91.231.28.0/22 91.232.163.0/24 91.236.84.0/22 91.238.60.0/24 91.245.8.0/21 91.247.147.0/24 92.108.0.0/14 92.108.0.0/15 92.110.0.0/15 92.244.32.0/19 92.244.32.0/20 92.244.48.0/20 93.99.0.0/16 93.99.0.0/17 93.99.128.0/17 93.113.157.0/24 94.75.64.0/18 94.75.64.0/19 94.75.96.0/19 94.100.157.0/24 94.100.158.0/23 94.112.0.0/15 94.112.0.0/16 94.113.0.0/16 95.76.0.0/15 95.96.0.0/15 95.96.0.0/16 95.97.0.0/16 109.110.192.0/19 109.110.192.0/20 109.110.208.0/20 109.255.0.0/16 109.255.0.0/17 109.255.128.0/17 130.193.17.0/24 141.170.128.0/18 141.170.128.0/19 141.170.160.0/19 144.194.24.0/21 145.252.0.0/23 176.61.0.0/17 176.61.0.0/18 176.61.64.0/18 176.96.152.0/21 178.17.96.0/20 178.73.0.0/18 178.73.0.0/19 178.73.32.0/19 178.77.192.0/18 178.77.192.0/19 178.77.224.0/19 178.82.0.0/15 178.82.0.0/16 178.83.0.0/16 178.84.0.0/15 178.84.0.0/16 178.85.0.0/16 178.212.254.0/24 178.213.152.0/21 185.26.188.0/22 185.26.188.0/24 185.26.189.0/24 185.26.190.0/24 185.26.191.0/24 185.31.36.0/22 185.32.124.0/22 188.93.160.0/21 188.93.160.0/22 188.93.164.0/22 188.94.232.0/21 188.141.0.0/17 188.141.0.0/18 188.141.64.0/18 188.167.0.0/16 188.167.0.0/17 188.167.128.0/17 192.94.226.0/24 192.102.95.0/24 192.162.248.0/24 193.5.44.0/23 193.5.56.0/23 193.5.121.0/24 193.8.58.0/23 193.8.60.0/24 193.8.170.0/24 193.8.230.0/24 193.36.36.0/24 193.41.90.0/24 193.41.148.0/23 193.46.58.0/23 193.47.104.0/21 193.47.112.0/20 193.47.128.0/21 193.84.112.0/24 193.104.1.0/24 193.104.34.0/24 193.104.55.0/24 193.104.167.0/24 193.111.202.0/23 193.134.252.0/24 193.135.106.0/24 193.135.134.0/23 193.135.134.0/24 193.135.135.0/24 193.164.218.0/23 193.177.176.0/22 193.187.248.0/22 193.187.248.0/24 193.187.249.0/24 193.187.250.0/24 193.187.251.0/24 193.200.78.0/23 193.201.33.0/24 193.223.192.0/19 193.228.93.0/24 193.246.24.0/24 193.246.28.0/24 193.246.106.0/23 193.247.200.0/24 194.11.212.0/23 194.11.212.0/24 194.29.0.0/19 194.33.186.0/24 194.39.132.0/24 194.40.144.0/23 194.40.200.0/22 194.40.244.0/24 194.42.160.0/23 194.48.198.0/24 194.48.203.0/24 194.50.173.0/24 194.53.10.0/24 194.56.178.0/24 194.56.218.0/24 194.56.244.0/24 194.60.81.0/24 194.93.116.0/22 194.102.114.0/24 194.102.199.0/24 194.107.224.0/24 194.113.154.0/24 194.124.145.0/24 194.124.146.0/23 194.124.246.0/24 194.145.157.0/24 194.147.69.0/24 194.147.112.0/24 194.147.234.0/23 195.20.106.0/23 195.20.132.0/24 195.20.208.0/23 195.34.128.0/19 195.34.128.0/20 195.34.130.0/24 195.34.131.0/24 195.34.132.0/24 195.34.133.0/24 195.34.134.0/24 195.34.135.0/24 195.34.144.0/20 195.43.139.0/24 195.58.160.0/19 195.58.160.0/20 195.58.176.0/20 195.66.123.0/24 195.95.162.0/24 195.184.160.0/19 195.200.243.0/24 195.202.192.0/18 195.230.117.0/24 195.234.172.0/24 195.248.73.0/24 195.250.54.0/24 212.17.64.0/18 212.17.64.0/19 212.17.96.0/19 212.41.224.0/19 212.41.224.0/20 212.41.240.0/20 212.47.160.0/19 212.76.32.0/19 212.76.32.0/20 212.76.48.0/20 212.83.64.0/19 212.83.64.0/22 212.83.68.0/22 212.83.72.0/21 212.83.80.0/20 212.142.0.0/18 212.142.0.0/19 212.142.32.0/19 212.178.32.0/19 212.178.32.0/20 212.178.48.0/20 212.186.0.0/16 212.186.0.0/18 212.186.64.0/19 212.186.64.0/20 212.186.80.0/20 212.186.96.0/20 212.186.112.0/21 212.186.120.0/21 212.186.128.0/19 212.186.128.0/20 212.186.144.0/20 212.186.160.0/22 212.186.162.0/24 212.186.168.0/23 212.186.170.0/23 212.186.172.0/22 212.186.176.0/20 212.186.192.0/19 212.186.210.0/24 212.186.211.0/24 212.186.212.0/24 212.186.213.0/24 212.186.224.0/21 212.186.232.0/21 212.186.240.0/20 212.187.0.0/17 212.187.0.0/18 212.187.64.0/18 213.34.0.0/19 213.34.0.0/20 213.34.16.0/20 213.46.0.0/15 213.46.0.0/19 213.46.32.0/20 213.46.48.0/21 213.46.56.0/22 213.46.60.0/22 213.46.60.0/24 213.46.64.0/18 213.46.128.0/19 213.46.160.0/19 213.46.160.0/24 213.46.161.0/24 213.46.163.0/24 213.46.166.0/24 213.46.167.0/24 213.46.172.0/24 213.46.173.0/24 213.46.174.0/24 213.46.176.0/24 213.46.177.0/24 213.46.178.0/24 213.46.179.0/24 213.46.181.0/24 213.46.183.0/24 213.46.190.0/24 213.46.192.0/19 213.46.224.0/19 213.46.243.0/24 213.46.246.0/24 213.46.255.0/24 213.47.0.0/16 213.47.0.0/17 213.47.128.0/17 213.47.192.0/20 213.47.220.0/24 213.47.221.0/24 213.47.222.0/24 213.47.224.0/19 213.93.0.0/16 213.93.0.0/17 213.93.128.0/17 213.108.160.0/21 213.124.160.0/19 213.124.160.0/20 213.124.176.0/20 213.124.192.0/18 213.124.192.0/19 213.124.224.0/19 213.126.128.0/17 213.126.128.0/18 213.126.192.0/18 213.127.0.0/16 213.127.0.0/17 213.127.128.0/17 213.134.160.0/19 213.134.160.0/20 213.134.176.0/20 213.160.192.0/18 213.160.192.0/19 213.160.224.0/19 213.164.224.0/19 213.192.0.0/18 213.192.0.0/19 213.192.32.0/19 213.193.64.0/18 213.220.192.0/18 213.222.128.0/18 213.229.0.0/18 213.229.0.0/19 213.229.32.0/19 217.23.240.0/20 217.24.32.0/20 217.63.128.0/18 217.63.128.0/19 217.63.160.0/19 217.71.240.0/20 217.71.249.0/24 217.71.250.0/23 217.102.0.0/17 217.102.0.0/18 217.102.64.0/18 217.103.0.0/16 217.103.0.0/17 217.103.128.0/17 217.104.128.0/17 217.104.128.0/18 217.104.192.0/18 217.105.0.0/18 217.105.0.0/19 217.105.32.0/19 217.105.224.0/19 217.105.224.0/20 217.105.240.0/20 217.119.64.0/20 217.147.48.0/20 217.156.57.0/24 217.162.0.0/16 217.168.32.0/19 
GTS, 	AS8246, 91.196.28.0/22 91.196.30.0/23 91.196.30.0/24 91.196.31.0/24 195.94.192.0/19 217.8.160.0/19 217.153.0.0/16 
Exatel, 	AS20804, 81.15.128.0/17 81.15.128.0/24 81.15.144.0/20 81.15.160.0/20 81.15.228.0/24 82.177.0.0/16 82.177.0.0/20 82.177.192.0/20 88.220.0.0/16 91.90.73.0/24 91.90.74.0/24 91.90.75.0/24 91.90.76.0/24 91.90.77.0/24 91.90.78.0/24 91.90.79.0/24 91.195.56.0/23 91.195.250.0/23 91.195.250.0/24 91.195.251.0/24 91.207.242.0/23 91.229.42.0/23 91.236.8.0/23 176.109.128.0/21 193.17.223.0/24 193.104.166.0/24 193.239.101.0/24 193.239.102.0/24 193.239.103.0/24 194.183.32.0/19 194.183.56.0/23 194.183.56.0/24 195.136.208.0/21 195.136.216.0/21 195.136.232.0/21 213.172.160.0/19 213.172.160.0/24 213.172.184.0/21 213.172.185.0/24 
CDP, 	AS12968, 62.89.64.0/18 62.111.128.0/17 62.181.160.0/19 85.128.0.0/17 89.22.192.0/21 89.171.0.0/16 91.189.72.0/21 91.196.12.0/22 91.198.121.0/24 91.207.184.0/23 91.207.202.0/23 91.213.107.0/24 91.216.115.0/24 91.231.19.0/24 91.231.20.0/23 93.159.0.0/18 93.159.57.0/24 193.37.139.0/24 193.43.228.0/22 193.58.249.0/24 193.84.71.0/24 193.91.16.0/20 193.138.136.0/24 193.201.136.0/22 193.238.14.0/23 193.238.14.0/24 193.238.15.0/24 193.238.40.0/22 193.239.208.0/23 194.110.238.0/24 194.169.237.0/24 194.187.168.0/22 195.64.150.0/23 195.88.28.0/23 195.160.178.0/23 213.134.128.0/19 
ATMATMAN, 	AS15694, 46.174.168.0/21 46.174.168.0/24 46.229.144.0/20 77.79.192.0/18 85.232.224.0/19 91.185.184.0/21 91.200.32.0/22 91.204.140.0/22 91.205.244.0/22 91.222.184.0/22 91.222.187.0/24 91.227.36.0/22 91.227.40.0/23 91.227.115.0/24 91.227.132.0/23 91.231.36.0/22 91.231.116.0/23 91.232.176.0/24 91.232.176.0/25 91.232.176.128/25 91.235.228.0/23 91.235.228.0/24 91.237.18.0/23 94.232.32.0/21 178.218.224.0/20 185.32.48.0/24 193.16.255.0/24 193.27.82.0/23 193.27.82.0/24 193.27.83.0/24 193.27.198.0/23 193.29.48.0/24 193.33.34.0/23 193.42.211.0/24 193.46.187.0/24 193.107.164.0/23 193.107.166.0/24 193.107.167.0/24 193.150.50.0/23 193.187.53.0/24 193.200.232.0/24 193.200.233.0/24 193.201.34.0/24 193.203.208.0/23 193.222.131.0/24 194.0.154.0/24 194.0.211.0/24 194.1.146.0/24 194.50.83.0/24 194.61.66.0/24 194.88.244.0/24 194.88.245.0/24 194.145.225.0/24 194.145.228.0/24 194.150.230.0/23 194.150.250.0/23 194.169.229.0/24 194.242.104.0/24 194.242.105.0/24 194.242.106.0/24 194.242.107.0/24 195.8.97.0/24 195.85.227.0/24 195.85.227.0/25 195.85.227.128/25 195.137.189.0/24 195.149.198.0/23 195.238.184.0/22 195.242.124.0/23 198.8.136.0/21 198.8.136.0/22 198.8.140.0/22 212.91.0.0/19 212.91.4.0/22 212.91.4.0/24 212.91.10.0/24 212.91.11.0/24 212.91.12.0/24 212.91.16.0/20 213.189.32.0/19 217.17.32.0/20 217.17.38.0/24 217.149.240.0/20 
Aster, 	AS12476, 31.178.0.0/15 31.178.0.0/16 31.179.0.0/16 62.121.64.0/18 62.121.64.0/19 62.121.96.0/19 82.210.128.0/18 82.210.128.0/19 82.210.160.0/19 85.222.0.0/17 85.222.0.0/18 85.222.64.0/18 94.75.64.0/18 94.75.64.0/19 94.75.96.0/19 178.73.0.0/18 178.73.0.0/19 178.73.32.0/19 195.250.54.0/24 212.76.32.0/19 212.76.32.0/20 212.76.48.0/20 
Vectra, 	AS29314, 31.11.128.0/17 31.22.96.0/21 31.22.96.0/22 31.22.100.0/22 37.8.192.0/18 37.77.152.0/21 62.122.112.0/21 77.222.224.0/21 77.222.232.0/21 77.222.240.0/20 78.31.152.0/21 78.88.0.0/17 78.88.0.0/20 78.88.16.0/22 78.88.20.0/23 78.88.22.0/23 78.88.24.0/21 78.88.32.0/21 78.88.40.0/23 78.88.42.0/24 78.88.43.0/24 78.88.44.0/23 78.88.46.0/24 78.88.47.0/24 78.88.48.0/21 78.88.56.0/21 78.88.64.0/21 78.88.72.0/21 78.88.80.0/22 78.88.84.0/22 78.88.88.0/23 78.88.90.0/23 78.88.92.0/24 78.88.93.0/24 78.88.94.0/24 78.88.95.0/24 78.88.96.0/21 78.88.104.0/23 78.88.106.0/23 78.88.108.0/24 78.88.109.0/24 78.88.110.0/23 78.88.112.0/21 78.88.120.0/23 78.88.122.0/24 78.88.123.0/24 78.88.124.0/23 78.88.126.0/24 78.88.127.0/24 78.88.128.0/17 78.88.128.0/22 78.88.132.0/23 78.88.134.0/23 78.88.136.0/21 78.88.144.0/22 78.88.148.0/22 78.88.152.0/22 78.88.156.0/23 78.88.158.0/23 78.88.160.0/21 78.88.168.0/21 78.88.176.0/21 78.88.184.0/21 78.88.192.0/21 78.88.200.0/21 78.88.208.0/21 78.88.216.0/21 78.88.224.0/21 78.88.232.0/23 78.88.234.0/23 78.88.236.0/23 78.88.238.0/24 78.88.239.0/24 78.88.240.0/23 78.88.242.0/23 78.88.244.0/22 78.88.248.0/21 82.139.0.0/18 83.143.40.0/21 83.143.136.0/21 83.243.104.0/21 88.156.0.0/18 88.156.64.0/18 88.156.64.0/24 88.156.65.0/24 88.156.66.0/23 88.156.68.0/24 88.156.69.0/24 88.156.70.0/24 88.156.71.0/24 88.156.72.0/23 88.156.74.0/24 88.156.75.0/24 88.156.76.0/24 88.156.77.0/24 88.156.78.0/23 88.156.78.0/24 88.156.79.0/24 88.156.80.0/20 88.156.83.0/24 88.156.96.0/19 88.156.96.0/24 88.156.97.0/24 88.156.98.0/24 88.156.99.0/24 88.156.100.0/22 88.156.104.0/21 88.156.112.0/20 88.156.128.0/18 88.156.128.0/20 88.156.144.0/20 88.156.160.0/21 88.156.168.0/22 88.156.172.0/24 88.156.173.0/24 88.156.174.0/24 88.156.175.0/24 88.156.176.0/21 88.156.184.0/21 88.156.192.0/18 88.156.192.0/20 88.156.208.0/21 88.156.216.0/23 88.156.218.0/23 88.156.220.0/23 88.156.222.0/24 88.156.223.0/24 88.156.224.0/24 88.156.225.0/24 88.156.226.0/23 88.156.228.0/24 88.156.229.0/24 88.156.230.0/23 88.156.232.0/22 88.156.236.0/22 88.156.240.0/22 88.156.244.0/22 88.156.248.0/22 88.156.252.0/24 88.156.253.0/24 88.156.254.0/24 88.156.255.0/24 91.192.76.0/22 91.226.197.0/24 91.230.159.0/24 91.230.162.0/23 91.230.164.0/22 91.238.232.0/22 93.105.0.0/17 93.105.0.0/23 93.105.2.0/23 93.105.4.0/23 93.105.6.0/24 93.105.7.0/24 93.105.8.0/22 93.105.12.0/23 93.105.14.0/23 93.105.16.0/22 93.105.20.0/22 93.105.24.0/21 93.105.32.0/21 93.105.40.0/24 93.105.41.0/24 93.105.42.0/24 93.105.43.0/24 93.105.44.0/22 93.105.48.0/22 93.105.52.0/22 93.105.56.0/21 93.105.64.0/19 93.105.96.0/20 93.105.112.0/21 93.105.120.0/21 93.105.128.0/17 93.105.128.0/21 93.105.136.0/22 93.105.140.0/23 93.105.142.0/24 93.105.143.0/24 93.105.144.0/21 93.105.152.0/22 93.105.156.0/22 93.105.160.0/21 93.105.168.0/21 93.105.176.0/21 93.105.184.0/22 93.105.188.0/23 93.105.190.0/23 93.105.192.0/20 93.105.208.0/20 93.105.224.0/21 93.105.232.0/22 93.105.236.0/24 93.105.237.0/24 93.105.238.0/24 93.105.239.0/24 93.105.240.0/20 94.231.48.0/20 95.160.0.0/17 95.160.0.0/23 95.160.2.0/23 95.160.4.0/23 95.160.6.0/24 95.160.7.0/24 95.160.8.0/24 95.160.9.0/24 95.160.10.0/24 95.160.11.0/24 95.160.12.0/22 95.160.16.0/22 95.160.20.0/22 95.160.24.0/22 95.160.28.0/22 95.160.32.0/21 95.160.40.0/21 95.160.48.0/23 95.160.50.0/23 95.160.52.0/24 95.160.53.0/24 95.160.54.0/23 95.160.56.0/22 95.160.60.0/22 95.160.64.0/23 95.160.66.0/23 95.160.68.0/24 95.160.69.0/24 95.160.70.0/24 95.160.71.0/24 95.160.72.0/22 95.160.76.0/22 95.160.80.0/21 95.160.88.0/21 95.160.96.0/21 95.160.104.0/21 95.160.112.0/23 95.160.114.0/24 95.160.115.0/24 95.160.116.0/22 95.160.120.0/21 95.160.128.0/17 95.160.128.0/19 95.160.160.0/23 95.160.162.0/23 95.160.164.0/23 95.160.166.0/24 95.160.167.0/24 95.160.168.0/23 95.160.170.0/24 95.160.171.0/24 95.160.172.0/22 95.160.176.0/21 95.160.184.0/21 95.160.192.0/23 95.160.194.0/24 95.160.195.0/24 95.160.196.0/24 95.160.197.0/24 95.160.198.0/23 95.160.200.0/21 95.160.208.0/20 95.160.224.0/24 95.160.225.0/24 95.160.226.0/24 95.160.227.0/24 95.160.228.0/22 95.160.232.0/21 95.160.240.0/20 109.107.0.0/19 109.107.0.0/20 109.107.16.0/21 109.107.24.0/23 109.107.26.0/24 109.107.27.0/24 109.107.28.0/22 109.107.28.0/24 109.107.29.0/24 109.107.30.0/24 109.107.31.0/24 109.197.56.0/21 109.197.64.0/21 109.241.0.0/18 109.241.64.0/18 109.241.128.0/18 109.241.192.0/18 178.235.0.0/17 178.235.128.0/24 178.235.129.0/24 178.235.130.0/24 178.235.131.0/24 178.235.132.0/23 178.235.134.0/24 178.235.135.0/24 178.235.136.0/22 178.235.136.0/23 178.235.138.0/23 178.235.140.0/24 178.235.141.0/24 178.235.142.0/23 178.235.144.0/23 178.235.146.0/24 178.235.147.0/24 178.235.148.0/22 178.235.152.0/21 178.235.160.0/19 178.235.192.0/18 193.106.128.0/22 193.108.228.0/23 193.201.18.0/23 194.54.188.0/22 195.26.72.0/22 195.28.170.0/23 195.95.170.0/24 195.191.162.0/23 195.242.252.0/22 
TelekomunikacjaKolejowa, 	AS20960, 78.131.128.0/17 78.131.140.0/23 78.131.161.0/24 78.131.162.0/24 78.131.175.0/24 78.131.192.0/24 78.131.195.0/24 78.131.236.0/24 78.131.237.0/24 78.131.238.0/24 79.139.68.0/22 82.160.0.0/16 82.160.13.0/24 82.160.14.0/24 82.160.25.0/24 82.160.35.0/24 82.160.36.0/24 82.160.105.0/24 82.160.109.0/24 82.160.120.0/23 88.199.0.0/16 88.199.21.0/24 88.199.26.0/24 88.199.29.0/24 88.199.50.0/23 88.199.63.0/24 88.199.82.0/24 91.196.30.0/24 91.196.31.0/24 94.40.0.0/16 94.40.41.0/24 94.40.42.0/23 94.40.44.0/24 94.40.47.0/24 94.40.52.0/22 94.40.61.0/24 94.40.72.0/22 94.40.76.0/23 94.40.112.0/24 94.40.114.0/24 94.40.115.0/24 94.40.116.0/24 94.40.123.0/24 94.40.224.0/21 94.40.232.0/21 94.40.240.0/21 94.40.248.0/21 193.239.100.0/22 194.28.80.0/22 194.246.98.0/24 213.199.192.0/18 213.199.192.0/20 213.199.208.0/20 213.199.224.0/19 
