Device,Method,Blocks,Threads,Datasize,searched Ips,Building time MS,searching time MS
GeForce GT 740M,LPM-BRUTE FORCE,2084,96,200000,1,0.000,1.000
GeForce GT 740M,LPM-BRUTE FORCE,2084,96,200000,1,0.000,1.000
GeForce GT 740M,LPM-BRUTE FORCE,2084,96,200000,1,0.000,1.000
GeForce GT 740M,LPM-BRUTE FORCE,2084,96,200000,1,0.000,1.000
GeForce GT 740M,LPM-BRUTE FORCE,2084,96,200000,1,0.000,0.000
GeForce GT 740M,LPM-BRUTE FORCE,2084,96,200000,1,0.000,1.000
GeForce GT 740M,LPM-BRUTE FORCE,2084,96,200000,1,0.000,1.000
GeForce GT 740M,LPM-BRUTE FORCE,2084,96,200000,1,0.000,1.000
GeForce GT 740M,LPM-BRUTE FORCE,2084,96,200000,1,0.000,1.000
GeForce GT 740M,LPM-BRUTE FORCE,2084,96,200000,1,0.000,0.000
GeForce GT 740M,LPM-BRUTE FORCE,2084,96,200000,1,0.000,1.000
GeForce GT 740M,LPM-BRUTE FORCE,2084,96,200000,1,0.000,1.000
GeForce GT 740M,LPM-BRUTE FORCE,2084,96,200000,1,0.000,1.000
GeForce GT 740M,LPM-BRUTE FORCE,2084,96,200000,1,0.000,0.000
GeForce GT 740M,LPM-BRUTE FORCE,2084,96,200000,1,0.000,1.000
GeForce GT 740M,LPM-BRUTE FORCE,2084,96,200000,1,0.000,1.000
GeForce GT 740M,LPM-BRUTE FORCE,2084,96,200000,1,0.000,1.000
GeForce GT 740M,LPM-BRUTE FORCE,2084,96,200000,1,0.000,1.000
GeForce GT 740M,LPM-BRUTE FORCE,2084,96,200000,1,0.000,0.000
GeForce GT 740M,LPM-BRUTE FORCE,2084,96,200000,1,0.000,1.000
GeForce GT 740M,LPM-BRUTE FORCE,2084,96,200000,1,0.000,1.000
GeForce GT 740M,LPM-BRUTE FORCE,2084,96,200000,1,0.000,1.000
GeForce GT 740M,LPM-BRUTE FORCE,2084,96,200000,1,0.000,1.000
GeForce GT 740M,LPM-BRUTE FORCE,2084,96,200000,1,0.000,1.000
GeForce GT 740M,LPM-BRUTE FORCE,2084,96,200000,1,0.000,0.000
GeForce GT 740M,LPM-BRUTE FORCE,1563,128,200000,1,0.000,1.000
GeForce GT 740M,LPM-BRUTE FORCE,1563,128,200000,1,0.000,1.000
GeForce GT 740M,LPM-BRUTE FORCE,1563,128,200000,1,0.000,1.000
GeForce GT 740M,LPM-BRUTE FORCE,1563,128,200000,1,0.000,1.000
GeForce GT 740M,LPM-BRUTE FORCE,1563,128,200000,1,0.000,1.000
GeForce GT 740M,LPM-BRUTE FORCE,1563,128,200000,1,0.000,1.000
GeForce GT 740M,LPM-BRUTE FORCE,1563,128,200000,1,0.000,0.000
GeForce GT 740M,LPM-BRUTE FORCE,1563,128,200000,1,0.000,1.000
GeForce GT 740M,LPM-BRUTE FORCE,1563,128,200000,1,0.000,2.000
GeForce GT 740M,LPM-BRUTE FORCE,1563,128,200000,1,0.000,1.000
GeForce GT 740M,LPM-BRUTE FORCE,1563,128,200000,1,0.000,1.000
GeForce GT 740M,LPM-BRUTE FORCE,1563,128,200000,1,0.000,0.000
GeForce GT 740M,LPM-BRUTE FORCE,1563,128,200000,1,0.000,1.000
GeForce GT 740M,LPM-BRUTE FORCE,1563,128,200000,1,0.000,1.000
GeForce GT 740M,LPM-BRUTE FORCE,1563,128,200000,1,0.000,0.000
GeForce GT 740M,LPM-BRUTE FORCE,1563,128,200000,1,0.000,1.000
GeForce GT 740M,LPM-BRUTE FORCE,1563,128,200000,1,0.000,0.000
GeForce GT 740M,LPM-BRUTE FORCE,1563,128,200000,1,0.000,1.000
GeForce GT 740M,LPM-BRUTE FORCE,1563,128,200000,1,0.000,1.000
GeForce GT 740M,LPM-BRUTE FORCE,1563,128,200000,1,0.000,1.000
GeForce GT 740M,LPM-BRUTE FORCE,1563,128,200000,1,0.000,1.000
GeForce GT 740M,LPM-BRUTE FORCE,1563,128,200000,1,0.000,0.000
GeForce GT 740M,LPM-BRUTE FORCE,1563,128,200000,1,0.000,1.000
GeForce GT 740M,LPM-BRUTE FORCE,1563,128,200000,1,0.000,1.000
GeForce GT 740M,LPM-BRUTE FORCE,1563,128,200000,1,0.000,1.000
GeForce GT 740M,LPM-BRUTE FORCE,1250,160,200000,1,0.000,1.000
GeForce GT 740M,LPM-BRUTE FORCE,1250,160,200000,1,0.000,1.000
GeForce GT 740M,LPM-BRUTE FORCE,1250,160,200000,1,0.000,1.000
GeForce GT 740M,LPM-BRUTE FORCE,1250,160,200000,1,0.000,1.000
GeForce GT 740M,LPM-BRUTE FORCE,1250,160,200000,1,0.000,1.000
GeForce GT 740M,LPM-BRUTE FORCE,1250,160,200000,1,0.000,1.000
GeForce GT 740M,LPM-BRUTE FORCE,1250,160,200000,1,0.000,1.000
GeForce GT 740M,LPM-BRUTE FORCE,1250,160,200000,1,0.000,1.000
GeForce GT 740M,LPM-BRUTE FORCE,1250,160,200000,1,0.000,1.000
GeForce GT 740M,LPM-BRUTE FORCE,1250,160,200000,1,0.000,1.000
GeForce GT 740M,LPM-BRUTE FORCE,1250,160,200000,1,0.000,1.000
GeForce GT 740M,LPM-BRUTE FORCE,1250,160,200000,1,0.000,0.000
GeForce GT 740M,LPM-BRUTE FORCE,1250,160,200000,1,0.000,1.000
GeForce GT 740M,LPM-BRUTE FORCE,1250,160,200000,1,0.000,1.000
GeForce GT 740M,LPM-BRUTE FORCE,1250,160,200000,1,0.000,1.000
GeForce GT 740M,LPM-BRUTE FORCE,1250,160,200000,1,0.000,1.000
GeForce GT 740M,LPM-BRUTE FORCE,1250,160,200000,1,0.000,0.000
GeForce GT 740M,LPM-BRUTE FORCE,1250,160,200000,1,0.000,1.000
